年份,总人口(亿)
1952,318.66
1957,346.38
1962,351.44
1965,373.22
1970,407.5
1975,437.73
1976,442.09
1977,445.05
1978,450.67
1979,456.37
1980,458.61
1981,467.93
1982,474.23
1983,479.38
1984,483.85
1985,488.39
1986,494.06
1987,501.03
1988,507.18
1989,513.39
1990,523.6
1991,527.43
1992,530.7
1993,533.53
1994,537.31
1995,542.12
1996,543.45
1997,549.2
1998,553.54
1999,557.63
2000,562.65
2001,569
2002,575.01
2003,582.56
2004,590.08
2005,597.44
2006,603.35
2007,604.85
2008,603.99
2009,603.27
2010,604.08
2011,606.64
2012,609.21
2013,613.25
2014,621.61
2015,625.73
2016,632.83
2017,643.62
2018,655.9
2019,796.74
2020,806.72
2021,816.6
2022,819.95
2023,825.3
2024,827.2
